ÚTVAR,ADRESA,TELEFON,FAX,EMAIL
Územní odbory Blansko - Vyškov,"Bezručova 31, 678 01 Blansko",974631111,974631218,orbksekr@mvcr.cz 
OOP Blansko,"Bezručova 31, 678 01 Blansko",974631396,974631382, bkoop@mvcr.cz
OOP Boskovice,"Masarykovo náměstí 5, 680 01 Boskovice",974631730,974631738,bkoopbosk@mvcr.cz
OOP Letovice,"Masarykovo náměstí 17, 679 61 Letovice",974631770,974631778,bkoopleto@mvcr.cz
OOP Bučovice,"Součkova 433, 685 01 Bučovice",974639820,517381333,vyoopbucov@mvcr.cz
OOP Slavkov u Brna,"Palackého náměstí 65, 684 01 Slavkov u Brna",974639810,974639810,vyoopsub@mvcr.cz
OOP Vyškov (+PS Rousínov),"Brněnská 7a, 682 11 Vyškov",974639450,974639711,vyoop@mvcr.cz
Městské ředitelství Brno,"Cejl 4/6, 611 38 Brno",974621111,974625508,bmkr@mvcr.cz
OOP Brno-Bystrc,"Nám. 28. dubna 9, 635 00 Brno",974621111,974628831,mrpb.oop.bystrc.podatelna@pcr.cz
OOP Brno-Královo Pole,"Malátova 3, 602 00 Brno",974621111,974624745,mrpb.oop.krpole.podatelna@pcr.cz
OOP Brno-sever,"Příční 31, 602 00 Brno",974621111,974625432,mrpb.oop.sever.podatelna@pcr.cz
OOP Brno-střed,"Běhounská 1, 602 00 Brno",974621111,974624408,mrpb.oop.stred.podatelna@pcr.cz
OOP Brno-Výstaviště,"Horní 21, 639 00 Brno ",974621111,974626488,mrpb.oop.vystaviste.podatelna@pcr.cz
OOP Brno-Žabovřesky,"Veveří 47/49, 611 38 Brno",974624202,974624205,mrpb.oop.zabovresky.podatelna@pcr.cz
OOP Brno-Židenice,"Nopova 86, 615 00 Brno",974621111,974623586,mrpb.oop.zidenice.podatelna@pcr.cz
OOP Brno-Komárov,"Zvonařka 18, 617 00 Brno",974621111,974623665,mrpb.oop.komarov.podatelna@pcr.cz
Územní odbory Břeclav,"Národních hrdinů 15, 690 16 Břeclav",974632905,974632219,krbv@mvcr.cz
OOP Břeclav,"Národních Hrdinů 21, 690 16 Břeclav",974632701,974632709, bv.oop.breclav.podatelna@pcr.cz
OOP Hustopeče (+PS Velké Pavlovice),"Husova 7, 693 01 Hustopeče",974632741,974632750,bv.oop.hustopece.podatelna@pcr.cz
OOP Mikulov,"U lomu 561E, 692 01 Mikulov",974632781,974632785,bv.oop.mikulov.podatelna@pcr.cz 
Územní odbory Hodonín,"Velkomoravská 16, 695 29 Hodonín",974633111,974633238,hodonin@mvcr.cz
OOP Dubňany,"U zdravotního střediska 1541, 696 03 Dubňany",974633580,974633588,hooopdubna@mvcr.cz
OOP Hodonín,"Velkomoravská 16, 695 29 Hodonín",974633470,974633468,hooop@mvcr.cz
OOP Kyjov,"Boršovská 2077/1a, 697 11 Kyjov",974633500,974633508,hooopkyjov@mvcr.cz
OOP Strážnice,"nám. 17. listopadu 1542, 696 62 Strážnice",974633540,974633548,hooopstraz@mvcr.cz
OOP Veselí nad Moravou,"Masarykova 115, 698 01 Veselí nad Moravou",974633520,974633528,hooopvnm@mvcr.cz 
Krajské ředitelství policie Zlínského kraje,"J. A. Bati 5637, 760 01 Zlín",974661111,974661900,krpz.reditel@mvcr.cz
Územní odbory Kroměříž,"Březinova 2819, 767 28 Kroměříž",974675111,974675900,pcrkmkr@mvcr.cz
OOP Bystřice pod Hostýnem,"Holešovská 757, 768 61 Bytřice pod Hostýnem",974675701,974675701,km.oop.bystriceh.podatelna@pcr.cz 
OOP Holešov,"Palackého 501, 769 01 Holešov",974675721,974675721,km.oop.holesov.podatelna@pcr.cz
OOP Kroměříž,"Březinova 2819/2, 767 01 Kroměříž",974675651,974675658,km.oop.kromeriz.podatelna@pcr.cz
OOP Hulín,"Družba čp. 1198, 768 24 Hulín",974675741,974675741,km.oop.hulin.podatelna@pcr.cz
OOP Morkovice ,"Náměstí 26, 768 33 Morkovice ",974675761,974675768, km.oop.morkovice.podatelna@pcr.cz
Územní odbory Uherské Hradiště,"Velehradská třída 1217, 686 43 Uherské Hradiště",974678111,974678900,uovs.uh@mvcr.cz
OOP Bojkovice (+PS Strání),"Sušilova 148, 687 71 Bojkovice",974678791,974678798,uh.oop.bojkovice.podatelna@pcr.cz
OOP Buchlovice,"Masarykova 271, 687 08 Buchlovice",974678761,974678768,uh.oop.buchlovice.podatelna@pcr.cz
OOP Uherské Hradiště,"Velehradská třída 1217, 686 43 Uherské Hradiště",974678651,974678658,uh.oop.uhhrad.podatelna@pcr.cz
OOP Uherský Brod,"Obchodní 2379, 688 01 Uherský Brod",974678701,nemají,uh.oop.uhbrod.podatelna@pcr.cz
OOP Uherský Ostroh,"Náměstí sv. Ondřeje 14, 687 24 Uherský Ostroh",974678781,974678788,uh.oop.uhostroh.podatelna@pcr.cz
Územní odbory Zlín,"Nám. T. G. Masaryka 3218, 760 01 Zlín",974666111,974666900,pcrzlin@mvcr.cz
OOP Fryšták,"Souhrady 386, 763 13 Fryšták",974666781,974666788,zl.oop.frystak.podatelna@pcr.cz
OOP Luhačovice,"Uherskobrodská 877, 763 26 Luhačovice",974666751,974666758,zl.oop.luhacovice.podatelna@pcr.cz
OOP Napajedla,"Masarykovo nám. 87, 763 61 Napajedla",974666731,974666731,zl.oop.napajedla.podatelna@pcr.cz
OOP Otrokovice,"nám. 3. května 1342, 765 02 Otrokovice",974666725,974666728,zl.oop.otrokovice.podatelna@pcr.cz
OOP Slavičín,"Osvobození 309, 763 01 Slavičín",974666761,974666768, zl.oop.slavicin.podatelna@pcr.cz
OOP Valašské Klobouky,"Cyrilometodějská 295, 766 01 Valašské Klobouky",974666778,974666778, zl.oop.valklobouky.podatelna@pcr.cz
OOP Vizovice,"Slušovická 425, 763 12 Vizovice",974666741,974666741,zl.oop.vizovice.podatelna@pcr.cz
OOP Zlín,"třída T. Bati 44, 760 01 Zlín",974666659,974666658, zl.oop.zlin.podatelna@pcr.cz
Územní odbory Vsetín,"Hlásenka 1516, 755 23 Vsetín",974680111,974680900,krorvs@mvcr.cz
OOP Horní Lideč,"Horní Lideč 18, 756 12 Horní Lideč",974680721,974680728, vs.oop.hornilidec.podatelna@pcr.cz
OOP Jablůnka,"Jablůnka 99, 756 23 Jablůnka",974680731,974680738,vs.oop.jablunka.podatelna@pcr.cz
OOP Karolinka,"Radniční nám. 42, 756 05 Karolinka",974680741,974680748,vs.oop.karolinka.podatelna@pcr.cz
OOP Rožnov pod Radhoštěm (+PS Horní Bečva),"5. května 599, 756 61 Rožnov pod Radhoštěm",974680751,974680758,vs.oop.roznov.podatelna@pcr.cz
OOP Valašské Meziříčí (+PS Kelč),"Vsetínská 378, 757 01 Valašské Meziříčí",974680761,974680768,vs.oop.valmezirici.podatelna@pcr.cz
OOP Vsetín,"Hlásenka 1516, 755 23 Vsetín",974680651,974680108,vs.oop.vsetin.podatelna@pcr.cz
Krajské ředitelství policie Olomouckého kraje,"Tř. Kosmonautů 189/10, 771 36 Olomouc",974766111,974761900,krpolk.reditel@mvcr.cz
Územní odbory Prostějov,"Újezd 12, 796 01 Prostějov",974781230,974781900,orpvkr@mvcr.cz
OOP Prostějov,"Újezd 12, 796 77 Prostějov  ",974781651,974781658,pvoop1@mvcr.cz 
OOP Prostějov 2,"Karolíny Světlé 8, 798 77 Prostějov-Vrahovice",974781701,582336960,pvoop2@mvcr.cz
OOP Konice,"Masarykovo nám. 36, 798 52 Konice",974781711,582396139,pvoopkonic@mvcr.cz 
OOP Němčice na Hané,"Tyršova 546, 798 27 Němčice nad Hanou",974781721,582386033,pvoopnnh@mvcr.cz 
OOP Plumlov,"Tyršovo nám. 160, 798 03  Plumlov",974781731,582393507,pvoopplum@mvcr.cz
Územní odbory Šumperk,"Havlíčkova 8, 787 90 Šumperk",974779299,974779900,orpvkr@mvcr.cz
OOP Hanušovice,"Hlavní 93, 788 03 Hanušovice",974779701,974779701,su.oo.hanusovice.stsl@pcr.cz
OOP Mohelnice,"Generála Svobody 22, 789 85 Mohelnice",974779721,974779728, su.oo.mohelnice.podatelna@pcr.cz         
OOP Šumperk,"Havlíčkova 10, 787 01 Šumperk",974779651,974779658,su.oo.sumperk.podatelna@pcr.cz
OOP Velké Losiny,"Rudé Armády 361, 788 15 Velké Losiny",974779731,974779738,su.oo.vlosiny.stsl@pcr.cz
OOP Zábřeh,"Postřelmovská 7, 789 01, Zábřeh",974779741,974779748,su.oo.zabreh.podatelna@pcr.cz
Územní odbory Jeseník,"Moravská 780/4, 790 14 Jeseník",974773550,974773900,pcrje@mvcr.cz
OOP Jeseník ,"Moravská 780/4, 790 01 Jeseník ",974773651,974773658,je.oo.jesenik.stsl@pcr.cz
OOP Javorník ,"Hlavní 149, 790 65 Žulová",974773701,974773708,je.oo.javornik.stsl@pcr.cz 
OOP Zlaté Hory,"Bezručova 614, 793 76 Zlaté Hory",974773711,974773718,je.oo.zlatehory.stsl@pcr.cz        
Územní odbory Olomouc,"Žižkovo nám. 4, 771 36 Olomouc",974766111,974766900,reditol@mvcr.cz
OOP Olomouc 1,"Sokolská 52, 731 36 Olomouc",974766651,974766698,ol.oo.olomouc1.stsl@pcr.cz
OOP Olomouc 2,"Heyrovského 2a, 771 36 Olomouc",974767651,974766708,oloop2@mvcr.cz
OOP Olomouc 3,"Smetanova 14, 771 36 Olomouc",585227660,974766718,ol.oo.olomouc3.stsl@pcr.cz
OOP Olomouc 4,"Na Trati 78, 771 36 Olomouc",974766721,974766728,oloop4@mvcr.cz
OOP Litovel,"Husova 20, 784 01 Litovel",974766751,974766758,olooplitov@mvcr.cz
OOP Lutín,"Olomoucká 138, 783 49 Lutín",974766771,974766778,olooplutin@mvcr.cz
OOP Šternberk,"Oblouková 4, 785 01 Šternberk",974766731,974766738,oloopstern@mvcr.cz
OOP Uničov,"Gen. Svobody 1214, 783 91 Uničov",974766741,974766748,oloopunicov@mvcr.cz
OOP Velká Bystřice,"Zámecké náměstí 17, 783 53 Velká Bystřice",974766761,585351877,oloopvbyst@mvcr.cz
OOP Moravský Beroun,"Nádražní 134, 793 05  Moravský Beroun",974766781,554733305,ol.oo.mberoun.stsl@pcr.cz
Územní odbory Přerov,"U Výstaviště 18, 751 52 Přerov",974778299,581218362,srorpr@mvcr.cz
OOP Přerov 1,"Čapka Drahlovského 7, 750 02 Přerov",974778651,974778658,pr.oo.prerov.podatelna@pcr.cz
OOP Přerov 2,"U Výstaviště 18, 751 52 Přerov",974778701,974778708,pr.oo.prerov2.podatelna@pcr.cz
OOP Hranice,"Purgešova 2, 753 01 Hranice",974778711,974778718,pr.oo.hranice.podatelna@pcr.cz
OOP Kojetín,"Masarykovo Náměstí 39, 752 01 Kojetín",974778721,974778728,pr.oo.kojetin.podatelna@pcr.cz
OOP Lipník nad Bečvou,"K Nadsklepí 1402, 751 31 Lipník n/B",974778731,581773260,pr.oo.lipnik.podatelna@pcr.cz
Krajské ředitelství policie Moravskoslezského kraje,"30. dubna 24, 728 99 Moravská Ostrava a Přívoz",974721111,974721900,ssmkzastup@mvcr.cz
Územní odbory Opava,"Hrnčířská 22, 746 25 Opava",974737111,974737900,krop@mvcr.cz
OOP Hlučín ,"Dr. E. Beneše 2, 748 11 Hlučín ",974737701,974737708,opoophluci@mvcr.cz
OOP Hradec nad Moravicí ,"Lidická 316, 747 41 Hradec nad Moravicí ",974737731,974737738,opoophrade@mvcr.cz
OOP Kravaře,"Bezručova 102, 747 22 Kravaře",974737721,974737728,opoopkrava@mvcr.cz
OOP Opava,"Vaškovo náměstí 10, 746 25 Opava",974737651,974737658,opoop@mvcr.cz
OOP Velké Heraltice ,"Družstevní 41, 747 75 Velké Heraltice ",974737751,553650972,opoopvhera@mvcr.cz
OOP Vítkov,"Komenského 137, 749 11 Vítkov",974737711,974737718,opoopvitko@mvcr.cz
Územní odbory Nový Jičín,"Svatopluka Čecha 11, 741 11 Nový Jičín",974735111,974735900,vedeninj@mvcr.cz
OOP Bílovec,"Pivovarská 13/15, 743 01 Bílovec ",556410834,974735701,bilovec@mvcr.cz
OOP Frenštát pod Radhoštěm,"Rožnovská 241, 74401 Frenštát pod Radhoštěm",556835333,974735718,njoopfren@mvcr.cz
OOP Fulnek ,"Masarykova 63, 742 45 Fulnek ",974735721,556455328,njoopfulne@mvcr.cz
OOP Kopřivnice ,"Štefánikova 370, 742 21 Kopřivnice ",974735731,974735738,njoopkopri@mvcr.cz
OOP Nový Jičín,"Vančurova 44, 741 11 Nový Jičín",974735651,974735940,njoop@mvcr.cz
OOP Odry,"Osvobození 25, 742 35 Odry",974735741,556730834,njoopodry@mvcr.cz
OOP Příbor,"Masarykova 637, 742 58 Příbor",974735751,556713927,njooppribo@mvcr.cz
OOP Studénka ,"Sjednocení 846, 742 13 Studénka ",974735761,974735768,njoopstude@mvcr.cz
Územní odbory Bruntál,"Partyzánská 9, 792 01 Bruntál",974731111,974731900,krbr@mvcr.cz 
OOP Bruntál,"Sladovnická 14, 792 01 Bruntál",974731651,974731658,broop@mvcr.cz
OOP Krnov,"Albrechtická 1, 794 01 Krnov",974731731,554637618,broopkrnov@mvcr.cz
OOP Rýmařov,"J. Sedláka 12, 795 01 Rýmařov",974731751,974731758,brooprymar@mvcr.cz
OOP Vrbno pod Pradědem,"Nádražní 583, 793 26 Vrbno pod Pradědem",974731761,974731765,broopvrbno@mvcr.cz
OOP Město Albrechtice,"Osvobození 7, 793 95 Město Albrechtice",974731771,554646069,broopalbre@mvcr.cz
Územní odbory Frýdek-Místek,"Beskydská 2061, 738 19 Frýdek-Místek",974732111,974732900,krfm@mvcr.cz
OOP Brušperk,"Policejní 195, 739 44 Brušperk",974732701,558666522,fmoopbrusp@mvcr.cz
OOP Frýdek-Místek,"Hlavní 110, 738 02  Frýdek-Místek",974732651,974732940,oopfm@mvcr.cz
OOP Frýdlant nad Ostravicí,"5. května 1419, 739 11 Frýdlant nad Ostravicí",974732731,558442012,fmoopfrydl@mvcr.cz
OOP Hnojník,"Hnojník 222, 739 53 Hnojník",974732741,974732748,fmoophnoj@mvcr.cz
OOP Jablunkov,"Nádražní 202, 739 91 Jablunkov",974732751,558358050,fmoopjablu@mvcr.cz
OOP Nošovice,"Nošovice 155, 739 51 Nošovice",974732711,558638639,fmoopnosovice@mvcr.cz
OOP Palkovice,"Palkovice 448, 739 41 Palkovice",974732771,558656190,fmooppalk@mvcr.cz
OOP Třinec,"1.máje 124, 739 61 Třinec",974732781,974732788,fmooptrine@mvcr.cz
Městské ředitelství Ostrava,"30. dubna 1682/24, 729 21 Ostrava",974721111,974725900,mrova@mvcr.cz
OOP Ostrava–Hrabůvka,"Dr. Martínka 14, 700 30 Ostrava–Hrabůvka",974725791,974725798,mrova.oop.hrabuvka@mvcr.cz
OOP Ostrava–Mariánské Hory,"Strmá 14, 709 39 Ostrava–Mariánské Hory a Hulváky",974725301,974727308,mrova.oop.marhory@mvcr.cz
OOP Ostrava-střed,"Masná 3, 72873 Moravská Ostrava a Přívoz",974725721,974727408,mrova.oop.stred@mvcr.cz
OOP Ostrava-Poruba 1,"Dělnická 392, 708 54 Ostrava–Poruba",974725731,974725738,mrova.oop.poruba1@mvcr.cz
OOP Ostrava–Poruba 2 (+ PS Velká Polom),"Heyrovského 9, 708 51 Ostrava–Poruba",974727601,974727608,mrova.oop.poruba2@mvcr.cz
OOP Ostrava-Přívoz,"Wattova 1047/21, 702 10 Moravská  Ostrava a Přívoz",974727701,974727708,mrova.oop.privoz@mvcr.cz
OOP Vratimov,"Frýdecká 819, 738 32 Vratimov",974728711,596732376,mrova.oop.vratimov@mvcr.cz
OOP Slezská Ostrava (+PS Ostrava Radvanice),"Bohumínská 65, 710 00 Slezská Ostrava",974725651,974725658,mrova.oop.slezska@mvcr.cz
OOP Ostrava–Vítkovice,"Mečnikovova 4, 703 49 Ostrava–Vítkovice",974725771,974728208,mrova.oop.vitkovice@mvcr.cz
OOP Ostrava–Zábřeh,"Náměstí SNP, 700 30 Ostrava–Zábřeh",974728301,974728308,mrova.oop.zabreh@mvcr.cz
Územní odbory Karviná,"Havířská 1511/26, 735 06 Karviná - Nové Město",974734111,974734900,pcrorka@mvcr.cz
OOP Havířov 1,"Sv. Čecha 1, 736 01 Havířov-Město ",596805541,974744658,kaoophav1@mvcr.cz
OOP Havířov 3,"Moravská 31, 736 01 Havířov-Šumbark",596884863,974734758,kaoophav3@mvcr.cz
OOP Orlová,"Slezská 1370, 735 13 Orlová-Poruba",596523333,596513558,kaooporlov@mvcr.cz
OOP Bohumín,"9. května 658, 735 81 Bohumín",596097512,974734708,kaoopbohum@mvcr.cz
OOP Dětmarovice,"Dětmarovice 964, 735 71 Dětmarovice",596550144,596550198,kaoopdetma@mvcr.cz
OOP Horní Suchá ,"Stonavská 365, 735 35 Horní Suchá ",596425556,596425485,kaoophsuch@mvcr.cz
OOP Karviná 1,"U Svobodáren 1298, 735 06 Karviná - Nové Město",974734651,974734658,kaoopkar1@mvcr.cz
OOP Karviná 7,"Stavbařů 2198, 734 01 Karviná-Mizerov",596342333,974734778,kaoopkar7@mvcr.cz
OOP Petřvald,"Ostravská 924, 735 41 Petřvald",596541124,596512103,kaooppetrv@mvcr.cz
OOP Těrlicko ,"Přehradní 371/11, 735 42 Těrlicko ",596423067,596423068,kaoopterli@mvcr.cz
OOP Český Těšín,"náb. Míru 20, 737 01 Český Těšín",558731800,558712567,kaoopctesi@mvcr.cz
