"Obec/město/KATASTR","Okres","Kraj","PČR útvar","Číslo katastru","Původní (chybné) zařazení/Poznámka","PRIORITA",,
"Libavské Údolí","Sokolov","Karlovarský kraj","OOP Kynšperk nad Ohří",,,,"oop kynšperk nad ohří",
"Šabina","Sokolov","Karlovarský kraj","OOP Kynšperk nad Ohří",,,,"oop kynšperk nad ohří",
"STUDÁNKA U BŘEZOVÉ","Sokolov","Karlovarský kraj","OOP Kynšperk nad Ohří",670499,"OOP Sokolov-venkov",2,"oop kynšperk nad ohří",
"SMRKOVEC U BŘEZOVÉ","Sokolov","Karlovarský kraj","OOP Kynšperk nad Ohří",670481,"OOP Sokolov-venkov",2,"oop kynšperk nad ohří",
"Albrechtice","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Cotkytle","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Dolní Čermná","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Horní Čermná","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Horní Heřmanice","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Horní Třešňovec","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Krasíkov","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Lanškroun","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Lubník","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Luková","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Ostrov","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Petrovice","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Rudoltice","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Sázava","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Strážná","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Tatenice","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Výprachtice","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Žichlínek","Ústí nad Orlicí","Pardubický kraj","OOP Lanškroun",,,,"oop lanškroun",
"Bukovka","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Čeperka","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Černá u Bohdanče","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Chýšť","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Dolany","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Hrobice","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Kasalice","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Křičeň","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Lázně Bohdaneč","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Libišany","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Malé Výkleky","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Neratov","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Opatovice nad Labem","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Plch","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Podůlšany","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Pravy","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Rohovládova Bělá","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Rohoznice","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Rybitví","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Srch","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Staré Ždánice","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Stéblová","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Vlčí Habřina","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Voleč","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Živanice","Pardubice","Pardubický kraj","OOP Lázně Bohdaneč",,,,"oop lázně bohdaneč",
"Bělá","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Bojiště","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Chřenovice","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Číhošť","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Hněvkovice","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Horní Paseka","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Hradec","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Jedlá","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Kamenná Lhota","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Kouty","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Kožlí","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Kozlov","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Kynice","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Ledeč nad Sázavou","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Ostrov","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Pavlov","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Prosíčka","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Vilémovice","Havlíčkův Brod","Kraj Vysočina","OOP Ledeč nad Sázavou",,"Sloučeno pod OOP Světlá nad Sázavou",2,"oop ledeč nad sázavou",
"Bystřec","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Čenkovice","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Dolní Dobrouč","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Jablonné nad Orlicí","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Jamné nad Orlicí","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Letohrad","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Mistrovice","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Orličky","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Písečná","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Šedivec","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Sobkovice","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Studené","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Těchonín","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Verměřovice","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Žampach","Ústí nad Orlicí","Pardubický kraj","OOP Letohrad",,,,"oop letohrad",
"Černovice","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Crhov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Deštná","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Hodonín","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Horní Poříčí","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Horní Smržov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Kněževes","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Křetín","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Křtěnov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Kunštát","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Lazinov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Letovice","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Lhota u Olešnice","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Louka","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Makov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Malá Roudka","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Míchov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Nýrov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Olešnice","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Petrov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Prostřední Poříčí","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Roubanina","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Rozseč nad Kunštátem","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Rozsíčka","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Sebranice","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Skrchov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Stvolová","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Sulíkov","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Svitávka","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Tasovice","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Ústup","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Velké Opatovice","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Vísky","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Vranová","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Zbraslavec","Blansko","Jihomoravský kraj","OOP Letovice",,,,"oop letovice",
"Dolany","Mělník","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Číčovice","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Holubice","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Horoměřice","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Libčice nad Vltavou","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Lichoceves","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Okoř","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Roztoky","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Statenice","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Svrkyně","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Tursko","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Úholičky","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Únětice","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"Velké Přílepy","Praha-západ","Středočeský kraj","OOP Libčice nad Vltavou",,,,"oop libčice nad vltavou",
"LIBEREC","Liberec","Liberecký kraj","OOP Liberec - centrum",682039,"OOP Liberec - město - neexistuje",2,"oop liberec - centrum",
"Stráž nad Nisou","Liberec","Liberecký kraj","OOP Liberec - centrum",,"OOP Liberec Ruprechtice - neexistuje",2,"oop liberec - centrum",
"KRÁSNÁ STUDÁNKA","Liberec","Liberecký kraj","OOP Liberec - centrum",673641,,2,"oop liberec - centrum",
"RADČICE U KRÁSNÉ STUDÁNKY","Liberec","Liberecký kraj","OOP Liberec - centrum",673650,,2,"oop liberec - centrum",
"KATEŘINKY U LIBERCE","Liberec","Liberecký kraj","OOP Liberec - centrum",682438,,2,"oop liberec - centrum",
"RUDOLFOV","Liberec","Liberecký kraj","OOP Liberec - centrum",682446,,2,"oop liberec - centrum",
"RUPRECHTICE","Liberec","Liberecký kraj","OOP Liberec - centrum",682144,,2,"oop liberec - centrum",
"STARÉ PAVLOVICE","Liberec","Liberecký kraj","OOP Liberec - centrum",682179,,2,"oop liberec - centrum",
"NOVÉ PAVLOVICE","Liberec","Liberecký kraj","OOP Liberec - centrum",682161,,2,"oop liberec - centrum",
"RŮŽODOL I.","Liberec","Liberecký kraj","OOP Liberec - centrum",682209,"pouze část na severovýchod od dálnice",2,"oop liberec - centrum",
"HORNÍ SUCHÁ U LIBERCE","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682489,,2,"oop liberec - vápenka",
"OSTAŠOV U LIBERCE","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682471,,2,"oop liberec - vápenka",
"RŮŽODOL I.","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682209,"pouze jihozápadní část pod dálnicí",2,"oop liberec - vápenka",
"FRANTIŠKOV U LIBERCE","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682233,,2,"oop liberec - vápenka",
"JANŮV DŮL U LIBERCE","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682241,,2,"oop liberec - vápenka",
"KARLINKY","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682497,,2,"oop liberec - vápenka",
"HORNÍ RŮŽODOL","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682250,,2,"oop liberec - vápenka",
"ROCHLICE U LIBERCE","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682314,"pouze západní část za dálnicí",2,"oop liberec - vápenka",
"DOLNÍ HANYCHOV","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682268,,2,"oop liberec - vápenka",
"HORNÍ HANYCHOV","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682462,,2,"oop liberec - vápenka",
"LIBEREC","Liberec","Liberecký kraj","OOP Liberec - Vápenka",682039,"pouze západní část za dálnicí (železnicí)",2,"oop liberec - vápenka",
"STARÝ HARCOV","Liberec","Liberecký kraj","OOP Liberec - Vratislavice",682390,,2,"oop liberec - vratislavice",
"LIBEREC","Liberec","Liberecký kraj","OOP Liberec - Vratislavice",682039,"pouze část vymezená ulicemi Zvolenská a Jablonecká",2,"oop liberec - vratislavice",
"ROCHLICE U LIBERCE","Liberec","Liberecký kraj","OOP Liberec - Vratislavice",682314,"pouze východní část za dálnicí",2,"oop liberec - vratislavice",
"KUNRATICE U LIBERCE","Liberec","Liberecký kraj","OOP Liberec - Vratislavice",785628,,2,"oop liberec - vratislavice",
"VRATISLAVICE NAD NISOU","Liberec","Liberecký kraj","OOP Liberec - Vratislavice",785644,,2,"oop liberec - vratislavice",
"Dlouhý Most","Liberec","Liberecký kraj","OOP Liberec Vesec",,,,"oop liberec vesec",
"Šimonovice","Liberec","Liberecký kraj","OOP Liberec Vesec",,,,"oop liberec vesec",
"HLUBOKÁ U LIBERCE","Liberec","Liberecký kraj","OOP Liberec Vesec",631094,,2,"oop liberec vesec",
"PILÍNKOV","Liberec","Liberecký kraj","OOP Liberec Vesec",631108,,2,"oop liberec vesec",
"DOUBÍ U LIBERCE","Liberec","Liberecký kraj","OOP Liberec Vesec",631086,,2,"oop liberec vesec",
"VESEC U LIBERCE","Liberec","Liberecký kraj","OOP Liberec Vesec",780472,,2,"oop liberec vesec",
"Budyně nad Ohří","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Černiv","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Evaň","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Klapý","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Křesín","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Libochovice","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Martiněves","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Mšené-lázně","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Přestavlky","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Radovesice","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Sedlec","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Slatina","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Žabovřesky nad Ohří","Litoměřice","Ústecký kraj","OOP Libochovice",,"Sloučeno pod OOP Lovosice",2,"oop libochovice",
"Bohuslávky","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Dolní Nětčice","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Dolní Újezd","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Hlinsko","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Horní Nětčice","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Jezernice","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Kladníky","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Lazníčky","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Lhota","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Lipník nad Bečvou","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Osek nad Bečvou","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Radotín","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Soběchleby","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"SVRČOV","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",679402,"Enkláva v OOP Lipník nad Bečvou - k.ú. Svrčov chybně přiřazeno pod OOP Přerov 2",1,"oop lipník nad bečvou",
"Týn nad Bečvou","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Veselíčko","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Výkleky","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Žákovice","Přerov","Olomoucký kraj","OOP Lipník nad Bečvou",,,,"oop lipník nad bečvou",
"Frymburk","Český Krumlov","Jihočeský kraj","OOP Lipno nad Vltavou",,,,"oop lipno nad vltavou",
"Horní Dvořiště","Český Krumlov","Jihočeský kraj","OOP Lipno nad Vltavou",,"OOP Vyšší Brod",1,"oop lipno nad vltavou",
"Lipno nad Vltavou","Český Krumlov","Jihočeský kraj","OOP Lipno nad Vltavou",,,,"oop lipno nad vltavou",
"Loučovice","Český Krumlov","Jihočeský kraj","OOP Lipno nad Vltavou",,"OOP Vyšší Brod",1,"oop lipno nad vltavou",
"Malšín","Český Krumlov","Jihočeský kraj","OOP Lipno nad Vltavou",,"OOP Vyšší Brod",1,"oop lipno nad vltavou",
"Přední Výtoň","Český Krumlov","Jihočeský kraj","OOP Lipno nad Vltavou",,,,"oop lipno nad vltavou",
"Rožmberk nad Vltavou","Český Krumlov","Jihočeský kraj","OOP Lipno nad Vltavou",,"OOP Vyšší Brod",1,"oop lipno nad vltavou",
"Vyšší Brod","Český Krumlov","Jihočeský kraj","OOP Lipno nad Vltavou",,"OOP Vyšší Brod",1,"oop lipno nad vltavou",
"Adamov","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Borovany","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Hůry","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Hvozdec","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Jivno","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Ledenice","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Libín","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Libníč","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Lišov","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Štěpánovice","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Zvíkov","České Budějovice","Jihočeský kraj","OOP Lišov",,,,"oop lišov",
"Býčkovice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Chudoslavice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Hlinná","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Horní Řepčice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Kamýk","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Křešice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Levín","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Liběšice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Libochovany","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Litoměřice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Lovečkovice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Malíč","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Michalovice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Miřejovice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Mlékojedy","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Píšťany","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Ploskovice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Staňkovice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Třebušín","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Trnovany","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Úštěk","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Velké Žernoseky","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Žalhostice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Žitenice","Litoměřice","Ústecký kraj","OOP Litoměřice",,,,"oop litoměřice",
"Benátky","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Bohuňovice","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Budislav","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Cerekvice nad Loučnou","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Chmelík","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Chotěnov","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Chotovice","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Čistá","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Desná","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Dolní Újezd","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Horky","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Horní Újezd","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Janov","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Jarošov","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
"Litomyšl","Svitavy","Pardubický kraj","OOP Litomyšl",,,,"oop litomyšl",
